key-bin-checksum,tag-serial-number,start-timestamp,longitude,latitude,height-above-ellipsoid,type-of-fix,status,used-time-to-get-fix,timestamp-of-fix,battery-voltage,fix-battery-voltage,temperature,speed-over-ground,heading-degree,speed-accuracy-estimate,horizontal-accuracy-estimate,dop,satellite-count,barometric-pressure,quat-w-raw,quat-x-raw,quat-y-raw,quat-z-raw,magnetic-field-x-raw,magnetic-field-y-raw,magnetic-field-z-raw,data-decoding-software
1062830577,9035,2021-05-08 09:30:36.000,8.9307366,47.4841330,678.3,3,A,124,2021-05-08 09:32:41.000,3918,3875,11,6.56,346.69,0.58,55.81,16.6,4,0.00,,,,,,,,13
2216512386,9035,2021-05-08 10:00:01.000,8.9025817,47.4882733,567.2,3,A,40,2021-05-08 10:00:42.000,3912,3874,6,0.77,103.55,2.23,20.74,6.9,4,0.00,,,,,,,,13
4186837629,9035,2021-05-08 10:30:00.000,,,,0,D,150,,3907,3864,7,,,,,,,0.00,,,,,,,,13
1636241939,9035,2021-05-08 11:00:00.000,,,,0,D,150,,3898,3856,7,,,,,,,0.00,,,,,,,,13
3320606593,9035,2021-05-23 08:48:10.000,8.9365903,47.4847008,649.2,3,A,72,2021-05-23 08:49:23.000,3970,3922,-6,0.11,0.00,1.50,17.66,4.6,4,0.00,,,,,,,,13
0331894641,9035,2021-05-23 09:00:01.000,8.9364233,47.4848077,653.6,3,A,92,2021-05-23 09:01:34.000,3969,3931,0,0.48,304.09,2.29,27.39,5.1,4,0.00,,,,,,,,13
2626656514,9035,2021-05-23 09:15:01.000,8.9364065,47.4847322,652.1,3,A,14,2021-05-23 09:15:16.000,3966,3928,1,0.27,4.59,1.58,34.30,5.8,5,0.00,,,,,,,,13
2564192132,9035,2021-05-23 09:30:00.000,,,,0,D,150,,3969,3924,1,,,,,,,0.00,,,,,,,,13
3313628110,9035,2021-05-23 09:45:00.000,,,,0,D,150,,3959,3912,2,,,,,,,0.00,,,,,,,,13
0329744560,9035,2021-05-23 10:00:00.000,,,,0,D,150,,3956,3917,3,,,,,,,0.00,,,,,,,,13
1012071156,9035,2021-05-23 10:15:00.000,,,,0,D,150,,3950,3903,3,,,,,,,0.00,,,,,,,,13
2487061594,9035,2021-05-23 10:30:00.000,,,,0,D,150,,3950,3907,5,,,,,,,0.00,,,,,,,,13
