data-decoding-software,key-bin-checksum,tag-serial-number,start-timestamp,acceleration-sampling-frequency-per-axis,acceleration-axes,accelerations-raw
13,0346714884,9226,2021-05-17 11:40:00.000,10.00,XYZ,1809 1927 1605 1822 1921 1606 1816 1920 1609 1826 1917 1601 1817 1923 1608 1812 1923 1612 1820 1919 1610 1821 1922 1610 1811 1922 1607 1814 1923 1605 1816 1923 1599 1842 1917 1617 1809 1923 1615 1804 1926 1615 1820 1921 1613 1813 1922 1613 1818 1924 1610 1818 1924 1610 1811 1925 1611 1819 1921 1609 1825 1923 1610 1810 1923 1609 1814 1926 1608 1805 1922 1606 1812 1925 1607 1815 1925 1607 1823 1922 1615 1815 1922 1607 1814 1921 1608 1810 1922 1614 1814 1918 1611 1810 1921 1608 1818 1927 1609 1805 1922 1608 1816 1923 1608 1815 1922 1608 1809 1928 1605 1820 1923 1605 1819 1922 1610 1820 1925 1605 1813 1922 1611 1805 1929 1614 1813 1920 1611 1812 1922 1610 1814 1922 1607 1816 1926 1610 1804 1923 1607 1816 1922 1606 1814 1922 1607 1811 1921 1606 1817 1922 1608 1817 1921 1608 1821 1925 1604 1812 1919 1611 1809 1928 1614 1814 1921 1610 1815 1921 1610 1815 1921 1607 1815 1926 1608 1802 1924 1604 1816 1923 1607 1817 1923 1608 1806 1923 1617 1819 1923 1609 1814 1922 1607 1810 1926 1611 1815 1928 1615 1811 1925 1611 1814 1927 1620 1818 1925 1605 1816 1926 1609 1821 1925 1614 1819 1927 1604 1819 1927 1608 1828 1926 1603 1802 1921 1614 1803 1915 1606 1849 1893 1574 1861 1904 1590 1838 1916 1617 1853 1904 1602 1846 1913 1598 1828 1918 1602 1832 1920 1598 1819 1927 1598 1817 1917 1597 1834 1884 1615 1835 1875 1618 1829 1901 1607 1793 1907 1619 1832 1905 1610 1818 1903 1609 1818 1918 1610 1835 1912 1607 1827 1915 1604 1816 1912 1611 1819 1921 1601 1831 1912 1608 1832 1916 1606 1831 1914 1601 1835 1912 1604 1829 1917 1597 1830 1918 1600 1832 1913 1602 1824 1919 1601 1826 1919 1602 1829 1916 1605 1832 1920 1614 1834 1917 1603 1834 1909 1606
13,0725435778,9226,2021-05-17 11:42:00.000,10.00,XYZ,1781 1933 1631 1784 1930 1621 1788 1930 1623 1780 1933 1629 1785 1929 1623 1786 1929 1623 1784 1928 1629 1784 1931 1622 1788 1931 1624 1783 1928 1624 1781 1930 1630 1785 1930 1621 1786 1931 1624 1786 1929 1626 1793 1928 1624 1783 1930 1625 1786 1928 1626 1775 1936 1623 1787 1929 1624 1786 1929 1622 1785 1930 1627 1797 1929 1625 1784 1930 1625 1785 1928 1624 1784 1929 1619 1795 1929 1623 1782 1930 1625 1784 1929 1625 1778 1934 1624 1788 1929 1624 1786 1928 1623 1785 1927 1626 1776 1921 1617 1781 1929 1625 1788 1929 1626 1790 1920 1627 1783 1924 1624 1784 1929 1625 1783 1926 1626 1793 1928 1625 1782 1930 1626 1780 1931 1624 1771 1926 1622 1777 1929 1622 1784 1930 1625 1777 1934 1626 1787 1929 1625 1782 1929 1623 1784 1929 1627 1789 1930 1624 1785 1929 1624 1784 1929 1626 1775 1935 1625 1785 1930 1624 1784 1928 1622 1779 1928 1625 1780 1924 1622 1780 1925 1626 1786 1927 1626 1775 1936 1628 1786 1931 1624 1783 1928 1623 1787 1932 1623 1794 1930 1625 1783 1930 1625 1780 1928 1620 1775 1925 1620 1781 1930 1622 1788 1928 1626 1772 1935 1631 1783 1929 1624 1782 1929 1625 1789 1923 1625 1783 1929 1625 1783 1931 1624 1787 1930 1622 1794 1928 1624 1781 1930 1626 1787 1925 1624 1798 1927 1626 1788 1929 1625 1782 1929 1620 1781 1926 1623 1782 1928 1626 1781 1930 1627 1771 1928 1623 1775 1929 1625 1783 1930 1626 1780 1931 1626 1783 1928 1627 1783 1929 1624 1782 1930 1627 1785 1927 1624 1785 1926 1622 1789 1928 1630 1783 1927 1624 1782 1928 1624 1783 1929 1627 1792 1928 1626 1783 1929 1628 1775 1931 1622 1775 1925 1623 1783 1927 1625 1789 1928 1626 1776 1931 1623 1783 1928 1627 1784 1930 1624 1786 1931 1629 1784 1931 1623 1784 1929 1624
13,0316392385,9226,2021-05-17 11:44:01.000,10.00,XYZ,1757 1937 1642 1744 1935 1638 1755 1936 1638 1755 1941 1639 1753 1936 1638 1755 1936 1643 1755 1941 1638 1749 1941 1637 1754 1937 1639 1756 1941 1642 1752 1934 1638 1755 1933 1643 1756 1939 1642 1751 1937 1636 1758 1939 1637 1759 1938 1639 1752 1941 1651 1759 1937 1641 1755 1937 1640 1751 1942 1637 1756 1935 1638 1756 1935 1640 1761 1936 1638 1765 1938 1640 1754 1937 1641 1752 1937 1637 1743 1934 1638 1752 1938 1640 1758 1936 1641 1752 1947 1643 1759 1936 1637 1752 1936 1642 1759 1935 1638 1758 1935 1641 1754 1943 1642 1756 1939 1639 1766 1939 1642 1753 1938 1643 1757 1935 1641 1767 1939 1643 1751 1938 1643 1757 1935 1641 1768 1938 1643 1752 1939 1642 1756 1936 1641 1770 1939 1642 1752 1940 1642 1755 1936 1641 1758 1936 1641 1752 1938 1642 1754 1940 1641 1742 1935 1637 1754 1934 1640 1753 1938 1643 1750 1939 1644 1754 1938 1644 1760 1933 1645 1731 1946 1646 1742 1930 1638 1724 1943 1653 1742 1948 1660 1735 1957 1647 1755 1946 1656 1761 1947 1640 1762 1950 1638 1763 1950 1641 1741 1949 1639 1746 1959 1648 1739 1962 1645 1748 1966 1643 1743 1964 1645 1742 1968 1648 1753 1954 1657 1736 1962 1635 1743 1965 1631 1743 1974 1628 1750 1970 1625 1743 1986 1638 1741 1974 1635 1727 1958 1639 1735 1981 1645 1750 1961 1645 1743 1959 1641 1741 1952 1648 1755 1962 1652 1750 1952 1638 1746 1954 1645 1753 1951 1642 1740 1948 1642 1737 1960 1646 1743 1949 1644 1744 1947 1645 1749 1948 1644 1742 1948 1647 1740 1945 1651 1743 1951 1649 1745 1948 1648 1747 1943 1645 1744 1946 1648 1744 1951 1642 1748 1947 1648 1747 1946 1644 1754 1945 1640 1747 1943 1643 1752 1944 1652 1746 1941 1642 1752 1943 1641 1741 1948 1649 1751 1943 1643 1749 1941 1642
13,3786473704,9226,2021-05-17 11:46:01.000,10.00,XYZ,1758 1917 1644 1734 1922 1644 1761 1920 1644 1761 1930 1637 1759 1919 1648 1760 1924 1644 1742 1938 1647 1750 1922 1647 1746 1942 1654 1745 1933 1637 1756 1940 1640 1761 1942 1625 1777 1953 1633 1768 1964 1627 1774 1960 1641 1766 1961 1622 1770 1957 1625 1766 1962 1628 1768 1951 1635 1769 1950 1629 1773 1964 1632 1765 1953 1628 1774 1951 1629 1761 1957 1628 1774 1957 1624 1773 1952 1624 1771 1962 1622 1773 1951 1625 1771 1950 1624 1773 1945 1637 1771 1948 1623 1776 1950 1624 1775 1956 1633 1777 1951 1618 1779 1950 1621 1790 1949 1634 1784 1951 1615 1787 1947 1619 1790 1942 1619 1798 1944 1618 1784 1945 1617 1779 1946 1618 1779 1939 1622 1792 1947 1617 1784 1949 1618 1770 1945 1616 1797 1947 1616 1784 1949 1617 1771 1941 1614 1796 1949 1614 1792 1949 1616 1795 1951 1614 1788 1946 1614 1791 1946 1616 1807 1937 1609 1785 1947 1614 1794 1947 1615 1796 1944 1613 1807 1945 1618 1789 1947 1616 1783 1949 1611 1791 1948 1612 1799 1945 1613 1794 1946 1616 1785 1951 1620 1796 1944 1617 1791 1946 1617 1809 1941 1622 1784 1951 1620 1789 1948 1614 1796 1945 1615 1807 1945 1616 1790 1945 1615 1790 1948 1611 1792 1951 1612 1795 1944 1611 1798 1946 1618 1774 1943 1611 1796 1945 1615 1794 1946 1615 1786 1952 1618 1791 1948 1614 1792 1949 1619 1799 1949 1629 1792 1950 1613 1791 1949 1615 1802 1946 1618 1791 1946 1607 1795 1950 1614 1796 1943 1613 1806 1948 1615 1792 1948 1616 1797 1943 1610 1767 1950 1612 1802 1948 1614 1788 1950 1616 1771 1942 1612 1797 1949 1612 1791 1949 1615 1797 1953 1618 1794 1945 1612 1798 1947 1614 1805 1945 1605 1798 1944 1614 1796 1949 1615 1802 1937 1614 1782 1952 1611 1801 1949 1612 1787 1950 1614 1775 1946 1611
13,3600942750,9226,2021-05-17 11:48:00.000,10.00,XYZ,1778 1975 1616 1784 1979 1617 1782 1973 1614 1782 1973 1615 1783 1979 1619 1782 1972 1614 1782 1972 1616 1780 1979 1621 1780 1973 1613 1782 1972 1615 1787 1973 1612 1797 1971 1617 1789 1974 1613 1786 1970 1615 1791 1971 1616 1779 1980 1624 1784 1974 1616 1764 1971 1613 1781 1973 1616 1783 1975 1617 1771 1972 1612 1780 1973 1615 1782 1973 1615 1782 1977 1615 1787 1971 1615 1788 1970 1614 1791 1970 1608 1785 1969 1615 1787 1972 1615 1783 1976 1619 1797 1974 1615 1780 1974 1617 1783 1972 1617 1790 1976 1612 1786 1971 1614 1786 1973 1616 1774 1970 1612 1778 1971 1617 1783 1972 1615 1796 1971 1607 1789 1970 1616 1783 1973 1615 1787 1962 1616 1770 1975 1611 1782 1973 1615 1783 1974 1617 1765 1970 1615 1781 1972 1613 1784 1972 1617 1783 1971 1618 1780 1970 1616 1783 1969 1615 1796 1969 1609 1786 1970 1615 1781 1970 1616 1784 1959 1614 1774 1966 1614 1782 1970 1617 1783 1973 1618 1765 1969 1615 1780 1972 1613 1783 1971 1617 1788 1973 1623 1783 1969 1612 1781 1969 1617 1787 1971 1611 1791 1967 1617 1781 1972 1616 1783 1963 1610 1772 1966 1613 1782 1970 1617 1783 1972 1618 1764 1969 1613 1779 1971 1614 1783 1971 1616 1788 1973 1623 1784 1970 1615 1783 1971 1614 1794 1969 1610 1786 1970 1617 1783 1971 1616 1786 1966 1615 1790 1975 1618 1781 1973 1617 1779 1972 1614 1781 1974 1615 1785 1970 1616 1783 1972 1616 1761 1965 1612 1782 1970 1616 1783 1968 1615 1776 1972 1623 1787 1968 1615 1778 1966 1617 1779 1968 1624 1781 1970 1614 1782 1971 1617 1789 1968 1614 1791 1971 1616 1783 1972 1617 1783 1966 1616 1782 1966 1613 1785 1970 1617 1785 1969 1617 1772 1973 1625 1783 1967 1616 1776 1969 1618 1789 1967 1616 1788 1969 1616 1782 1971 1616
13,0371756592,9226,2021-05-17 11:50:01.000,10.00,XYZ,1844 1932 1594 1843 1927 1597 1836 1930 1595 1833 1926 1597 1830 1930 1599 1845 1928 1594 1845 1924 1596 1836 1929 1598 1841 1925 1594 1838 1925 1596 1843 1926 1594 1841 1927 1597 1843 1930 1600 1840 1927 1597 1841 1927 1596 1846 1927 1595 1854 1925 1596 1843 1924 1596 1844 1925 1594 1841 1928 1592 1850 1924 1593 1838 1924 1596 1842 1920 1599 1849 1916 1596 1840 1920 1597 1836 1927 1604 1834 1925 1603 1841 1926 1596 1842 1921 1598 1850 1923 1594 1844 1922 1598 1835 1928 1597 1842 1922 1596 1833 1931 1591 1842 1928 1595 1841 1923 1596 1841 1923 1594 1834 1920 1595 1840 1920 1592 1843 1923 1597 1846 1923 1597 1847 1917 1595 1841 1918 1597 1836 1926 1606 1835 1919 1606 1839 1925 1597 1836 1923 1597 1843 1921 1599 1837 1919 1598 1846 1922 1598 1838 1925 1594 1841 1926 1591 1844 1924 1596 1844 1917 1599 1839 1921 1602 1851 1918 1596 1841 1920 1598 1838 1919 1598 1840 1931 1610 1831 1925 1601 1834 1923 1599 1845 1922 1599 1850 1923 1597 1837 1924 1597 1839 1923 1598 1843 1927 1602 1843 1925 1595 1843 1925 1597 1845 1923 1600 1851 1921 1596 1847 1921 1596 1841 1922 1597 1842 1922 1607 1834 1925 1598 1835 1920 1598 1838 1931 1601 1831 1919 1599 1839 1924 1597 1840 1924 1598 1829 1930 1593 1839 1923 1599 1835 1924 1598 1839 1922 1599 1845 1923 1595 1844 1922 1595 1845 1929 1592 1845 1923 1602 1841 1925 1600 1838 1923 1598 1834 1924 1597 1834 1919 1603 1831 1930 1595 1841 1923 1599 1842 1925 1595 1848 1924 1598 1835 1925 1600 1838 1925 1599 1827 1923 1597 1841 1924 1600 1837 1926 1596 1838 1927 1595 1825 1922 1595 1841 1924 1597 1840 1925 1597 1846 1928 1597 1849 1924 1597 1832 1926 1597 1840 1923 1598 1838 1930 1600 1842 1923 1597
13,2990885049,9226,2021-05-17 11:52:00.000,10.00,XYZ,1868 1935 1583 1866 1932 1594 1871 1933 1583 1871 1935 1581 1873 1932 1580 1874 1933 1578 1883 1935 1579 1877 1936 1579 1876 1933 1576 1875 1931 1586 1863 1935 1586 1860 1928 1587 1850 1920 1581 1851 1945 1580 1861 1932 1585 1860 1936 1588 1860 1934 1584 1869 1934 1587 1862 1937 1584 1862 1935 1600 1864 1933 1587 1859 1935 1585 1864 1932 1585 1862 1937 1587 1866 1934 1584 1863 1928 1583 1865 1931 1584 1857 1935 1584 1863 1932 1586 1861 1924 1586 1861 1937 1587 1863 1938 1588 1859 1933 1585 1863 1934 1585 1863 1936 1585 1856 1932 1585 1864 1933 1588 1864 1934 1585 1862 1934 1585 1852 1931 1584 1861 1934 1580 1862 1934 1587 1860 1932 1589 1853 1929 1584 1867 1932 1585 1862 1932 1587 1861 1933 1588 1851 1930 1583 1864 1932 1585 1863 1933 1587 1861 1934 1587 1855 1934 1586 1865 1935 1589 1864 1935 1586 1859 1936 1585 1867 1937 1590 1862 1935 1584 1862 1936 1585 1861 1934 1586 1855 1940 1587 1864 1934 1585 1859 1935 1585 1861 1932 1584 1863 1929 1590 1863 1935 1586 1858 1934 1589 1868 1919 1584 1863 1932 1588 1868 1922 1585 1850 1937 1580 1868 1934 1586 1860 1934 1585 1850 1930 1584 1863 1934 1584 1862 1933 1586 1863 1935 1589 1859 1941 1586 1863 1934 1585 1863 1936 1583 1860 1935 1586 1867 1935 1580 1870 1933 1588 1855 1936 1586 1860 1934 1586 1860 1931 1585 1849 1932 1583 1859 1935 1585 1862 1933 1586 1858 1935 1586 1862 1931 1589 1862 1935 1588 1859 1935 1588 1859 1935 1585 1859 1932 1584 1854 1933 1585 1847 1941 1587 1867 1933 1586 1867 1916 1581 1861 1934 1578 1873 1935 1585 1857 1934 1588 1860 1933 1586 1858 1934 1585 1851 1931 1584 1856 1933 1584 1860 1934 1586 1859 1935 1587 1864 1936 1586 1871 1933 1585 1861 1934 1587
13,0139167817,9226,2021-05-17 11:54:01.000,10.00,XYZ,1702 1715 1804 1708 1729 1789 1738 1724 1807 1717 1729 1804 1726 1729 1822 1722 1728 1809 1711 1731 1811 1709 1742 1799 1707 1732 1805 1716 1749 1793 1728 1741 1807 1705 1736 1804 1714 1741 1800 1711 1738 1809 1710 1748 1799 1712 1753 1798 1701 1739 1817 1690 1750 1811 1712 1747 1808 1681 1733 1792 1688 1734 1811 1732 1750 1789 1713 1738 1814 1710 1759 1799 1698 1752 1817 1712 1742 1827 1684 1762 1823 1695 1762 1806 1687 1760 1801 1697 1759 1783 1688 1759 1797 1711 1755 1789 1718 1747 1769 1768 1726 1788 1767 1711 1776 1753 1714 1777 1784 1722 1765 1794 1713 1757 1789 1711 1752 1795 1707 1753 1802 1716 1739 1803 1700 1755 1810 1706 1752 1807 1705 1747 1808 1704 1741 1802 1703 1748 1804 1704 1756 1808 1712 1747 1804 1704 1753 1796 1711 1749 1802 1706 1749 1803 1705 1750 1809 1704 1749 1803 1707 1747 1801 1706 1756 1807 1707 1747 1797 1711 1755 1801 1708 1751 1801 1708 1748 1805 1707 1750 1806 1704 1746 1799 1706 1748 1806 1704 1751 1803 1705 1749 1811 1703 1744 1808 1704 1751 1803 1689 1744 1805 1705 1751 1811 1698 1751 1802 1702 1752 1804 1700 1754 1804 1701 1751 1806 1699 1751 1808 1694 1757 1805 1694 1763 1805 1697 1757 1799 1711 1740 1800 1697 1756 1804 1703 1754 1806 1705 1756 1789 1697 1759 1800 1703 1755 1808 1711 1743 1806 1703 1749 1802 1703 1745 1818 1702 1747 1820 1698 1743 1821 1700 1746 1824 1697 1738 1837 1690 1745 1847 1680 1742 1826 1691 1747 1800 1698 1750 1793 1701 1757 1801 1705 1753 1786 1701 1751 1793 1710 1736 1813 1705 1745 1810 1700 1754 1816 1711 1737 1848 1680 1761 1874 1693 1725 1882 1711 1706 1897 1697 1721 1893 1726 1667 1899 1748 1673 1854 1791 1647 1847 1773 1660 1862 1784 1666 1857 1765 1662
13,3304387970,9226,2021-05-17 11:56:01.000,10.00,XYZ,2387 1705 1932 2386 1700 1897 2324 1682 1840 2215 1661 1732 2181 1647 1733 2188 1645 1768 2161 1674 1745 1964 1618 1706 2018 1654 1745 1867 1738 1699 1809 1732 1716 1815 1744 1719 1800 1761 1745 1753 1780 1735 1827 1721 1729 1780 1749 1716 1793 1737 1716 1796 1744 1712 1814 1747 1708 1792 1729 1724 1809 1738 1715 1806 1744 1705 1808 1732 1715 1793 1753 1722 1803 1762 1694 1830 1743 1699 1826 1744 1706 1831 1750 1697 1843 1740 1689 1836 1764 1674 1840 1755 1676 1847 1751 1675 1856 1751 1676 1854 1747 1675 1864 1750 1670 1867 1761 1666 1869 1747 1668 1860 1748 1672 1852 1755 1670 1854 1750 1682 1838 1737 1674 1846 1750 1667 1854 1759 1664 1844 1759 1666 1865 1763 1659 1870 1755 1666 1865 1757 1665 1867 1762 1662 1871 1754 1669 1864 1754 1662 1857 1751 1670 1862 1749 1674 1853 1754 1673 1862 1756 1684 1860 1763 1663 1860 1753 1666 1863 1756 1672 1860 1757 1666 1858 1755 1670 1854 1768 1660 1866 1744 1682 1841 1732 1685 1850 1754 1667 1861 1753 1665 1863 1750 1669 1870 1757 1662 1868 1758 1663 1866 1754 1658 1885 1767 1665 1872 1757 1664 1864 1744 1672 1852 1744 1675 1854 1741 1675 1860 1756 1674 1873 1761 1666 1864 1744 1673 1877 1748 1666 1871 1752 1663 1883 1754 1661 1894 1750 1665 1877 1748 1669 1867 1739 1672 1857 1739 1673 1856 1727 1679 1869 1750 1667 1874 1749 1668 1872 1747 1675 1868 1751 1668 1867 1754 1664 1871 1748 1668 1865 1753 1666 1869 1750 1669 1868 1750 1669 1873 1754 1664 1869 1753 1666 1869 1751 1667 1870 1752 1667 1869 1748 1670 1872 1753 1669 1870 1749 1669 1868 1746 1672 1856 1748 1667 1873 1749 1668 1868 1752 1670 1871 1753 1668 1874 1748 1671 1871 1748 1668 1871 1750 1670 1872 1748 1671 1871 1747 1671
13,0562260444,9226,2021-05-17 11:58:00.000,10.00,XYZ,1837 1911 1616 1836 1907 1608 1837 1910 1609 1836 1915 1600 1837 1915 1602 1837 1917 1602 1835 1916 1602 1836 1916 1601 1835 1917 1601 1834 1915 1602 1849 1933 1612 1837 1913 1613 1821 1896 1595 1826 1905 1599 1836 1917 1600 1835 1918 1602 1831 1918 1600 1838 1919 1601 1834 1918 1602 1834 1917 1602 1832 1915 1601 1833 1917 1600 1837 1916 1601 1840 1914 1604 1835 1915 1602 1833 1917 1602 1834 1917 1602 1834 1915 1601 1833 1916 1602 1832 1916 1602 1835 1917 1602 1836 1922 1607 1829 1899 1607 1823 1899 1597 1840 1914 1598 1834 1915 1602 1834 1914 1603 1832 1914 1603 1833 1914 1603 1832 1915 1603 1833 1915 1602 1822 1885 1583 1835 1902 1604 1836 1931 1603 1832 1913 1602 1831 1916 1604 1834 1916 1603 1833 1916 1602 1832 1914 1602 1834 1914 1603 1833 1916 1606 1832 1888 1606 1829 1891 1607 1832 1922 1599 1828 1912 1602 1829 1916 1601 1833 1912 1602 1834 1912 1606 1833 1913 1605 1831 1913 1604 1834 1913 1605 1833 1914 1605 1833 1911 1603 1833 1913 1603 1840 1923 1606 1839 1914 1602 1836 1915 1612 1829 1909 1607 1830 1913 1604 1833 1913 1606 1833 1913 1605 1831 1914 1604 1831 1913 1605 1831 1912 1601 1830 1912 1606 1833 1912 1604 1833 1915 1601 1839 1939 1614 1832 1914 1611 1827 1908 1606 1833 1885 1620 1820 1889 1616 1807 1870 1610 1826 1903 1607 1821 1902 1607 1824 1903 1613 1826 1904 1610 1822 1911 1606 1833 1912 1607 1807 1908 1596 1840 1907 1608 1825 1900 1612 1829 1912 1613 1825 1908 1607 1826 1912 1606 1818 1912 1608 1817 1915 1606 1825 1915 1602 1824 1916 1607 1827 1914 1605 1826 1917 1605 1827 1916 1605 1825 1917 1605 1825 1916 1606 1825 1917 1603 1832 1916 1606 1830 1916 1607 1825 1918 1606 1825 1918 1605 1826 1919 1608
